Tipo,Casa,Preço,Destaque,Link,Área (m²),Quartos,Banheiros,UF
Casa à venda,Casa Em Sao Miguel Do Gostoso Rn,364000,Sim,https://casa.mercadolivre.com.br/MLB-5216499808-casa-em-sao-miguel-do-gostoso-rn-_JM#polycard_client=search-nordic&position=20&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,126.0,4,5, Rio Grande Do Norte
Casa à venda,Sobrado Próximo Metro Sacomã/busco Permuta Por Sítio/chacara,685000,Sim,https://casa.mercadolivre.com.br/MLB-5182254332-sobrado-proximo-metro-sacombusco-permuta-por-sitiochacara-_JM#polycard_client=search-nordic&position=21&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,130.0,3,3, São Paulo
Casa à venda,Casa Com Piscina Em Tatuí ( Terreno 200 Metros),320000,Sim,https://casa.mercadolivre.com.br/MLB-3922193149-casa-com-piscina-em-tatui-terreno-200-metros-_JM#polycard_client=search-nordic&position=23&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,170.0,2,3, São Paulo
Casa à venda,Sobrado De 2 Quartos No Melhor Do Brooklin ,1090000,Sim,https://casa.mercadolivre.com.br/MLB-5214943208-sobrado-de-2-quartos-no-melhor-do-brooklin-_JM#polycard_client=search-nordic&position=24&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,115.0,2,2, São Paulo
Casa à venda,Chalé Em Atibaia Condomínio Fechado,249000,Sim,https://casa.mercadolivre.com.br/MLB-5188293404-chale-em-atibaia-condominio-fechado-_JM#polycard_client=search-nordic&position=25&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,120.0,3,2, São Paulo
Casa à venda,Casa Em Condomínio  ( Direto Com O Proprietário),950000,Sim,https://casa.mercadolivre.com.br/MLB-5219764310-casa-em-condominio-direto-com-o-proprietario-_JM#polycard_client=search-nordic&position=28&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,101.0,3,3, São Paulo
Casa à venda,Sobrado Agenor De Campos -venda ,405000,Sim,https://casa.mercadolivre.com.br/MLB-5206549736-sobrado-agenor-de-campos-venda-_JM#polycard_client=search-nordic&position=30&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,217.0,2,2, São Paulo
Casa à venda,Casa Em São Sebastião,380000,Sim,https://casa.mercadolivre.com.br/MLB-5219439054-casa-em-so-sebastio-_JM#polycard_client=search-nordic&position=31&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,160.0,5,4, São Paulo
Casa à venda,"Sobradão C/ Tudo Novo V. Maria Alta, Zona Nobre",1490000,Sim,https://casa.mercadolivre.com.br/MLB-3919971733-sobrado-c-tudo-novo-v-maria-alta-zona-nobre-_JM#polycard_client=search-nordic&position=32&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,149.0,3,3, São Paulo
Casa à venda,Casa Ubatuba-cond Fechado C/piscina Ar Cond. E Mobiliada,1200000,Sim,https://casa.mercadolivre.com.br/MLB-3922849359-casa-ubatuba-cond-fechado-cpiscina-ar-cond-e-mobiliada-_JM#polycard_client=search-nordic&position=37&search_layout=grid&type=item&tracking_id=76217ef9-c8d2-4fb7-9c36-a6ea583f04dd,238.0,4,4, São Paulo
